,new_car,stock_car,income,gdp_1000_eur,population_1000,clusters
24204,19.0,241.0,6365.0,25.371299999999998,1959.537,1
24224,41.0,312.0,6607.0,26.9844,1942.248,1
24244,78.0,442.0,7333.0,29.153599999999997,1927.174,1
24264,116.0,658.0,8187.0,30.6786,1913.822,1
24284,351.0,1205.0,8827.0,30.265099999999997,1900.449,1
24304,480.0,2106.0,9437.0,33.6165,1884.49,1
24364,18.0,59.0,12043.0,7.9443,425.967,1
24384,30.0,87.0,12808.0,8.751100000000001,434.558,1
24404,23.0,136.0,13551.0,9.9967,445.053,1
24424,19.0,140.0,13617.0,10.5411,455.356,1
24444,24.0,189.0,14522.0,11.9366,467.999,1
24464,285.0,603.0,14781.0,12.953899999999999,484.63,1
24484,281.0,983.0,15354.0,14.186399999999999,504.062,1
24504,178.0,1293.0,16240.0,13.173,515.332,1
24524,416.0,1783.0,17036.0,15.0019,518.536,1
24584,3193.0,9962.0,21292.0,690.008,16939.923,1
24604,3988.0,13709.0,22733.0,708.337,17030.314,1
24624,7958.0,21842.0,23561.0,738.146,17131.296,1
24644,23985.0,44581.0,24016.0,773.987,17231.624,1
24664,61547.0,106558.0,24612.0,813.055,17344.874,1
24684,72858.0,173964.0,25801.0,796.53,17441.5,0
24704,63658.0,245091.0,28441.0,855.47,17533.044,0
24724,7885.0,18000.0,42909.0,395.85679999999996,5079.623,1
24744,18091.0,39000.0,43775.0,378.45640000000003,5137.232,1
24764,25779.0,69000.0,41483.0,349.7567,5188.607,1
24784,24222.0,97532.0,39573.0,335.3965,5234.519,1
24804,33023.0,138983.0,38471.0,356.2885,5276.968,1
24824,46091.0,195348.0,39438.0,372.6576,5311.916,0
24844,60271.0,260689.0,39125.0,365.1305,5347.896,0
24864,82212.0,343707.0,40241.0,322.8238,5379.475,0
24885,793.0,2270.0,5164.0,388.3564,38040.196,1
24905,1909.0,4218.0,5336.0,406.4125,38011.735,1
24925,3496.0,7765.0,5556.0,429.83459999999997,37986.412,1
24945,6847.0,14610.0,5884.0,424.7353,37970.087,1
24965,12179.0,26223.0,5945.0,465.77259999999995,37974.826,1
24985,1007.0,3018.0,6574.0,499.0041,37974.75,1
25005,2205.0,5196.0,7124.0,532.5047,37965.475,1
25025,4619.0,9772.0,8022.0,526.1472,37899.07,1
25045,6531.0,18132.0,8297.0,576.3826,37747.124,1
25065,1912.0,4667.0,9071.0,195.9472,10300.3,1
25085,4458.0,9980.0,9346.0,205.1841,10283.822,1
25105,6880.0,18139.0,10023.0,214.37460000000002,10286.263,1
25125,7908.0,26949.0,10800.0,200.5189,10297.081,1
25145,13546.0,43309.0,11089.0,214.741,10361.831,1
25165,37.0,2042.0,2016.0,142.9289,19983.693,1
25185,17.0,2737.0,2155.0,150.5224,19908.979,1
25205,28.0,3863.0,2315.0,160.28779999999998,19815.616,1
25225,69.0,6348.0,2448.0,167.49429999999998,19702.267,1
25245,232.0,9947.0,2742.0,186.399,19588.715,1
25265,472.0,1103.0,3284.0,206.0719,19473.97,1
25285,1506.0,2798.0,3851.0,224.17860000000002,19371.648,1
25305,2844.0,5803.0,4267.0,220.4866,19265.25,1
25325,6344.0,12433.0,4816.0,241.26839999999999,19122.059,1
25345,452.0,1010.0,25401.0,441.8507,9600.379,1
25365,1266.0,2172.0,25838.0,438.8339,9696.11,1
25385,2916.0,4765.0,25306.0,455.4947,9799.186,1
25405,2993.0,7532.0,25164.0,466.2665,9923.085,1
25425,4359.0,11034.0,25376.0,480.0255,10057.698,1
25445,7147.0,16664.0,25540.0,470.6731,10175.214,1
25465,15795.0,30343.0,24474.0,476.8695,10278.887,1
25485,27981.0,55790.0,24700.0,480.5564,10353.442,1
25505,57590.0,110177.0,25498.0,538.3176,10415.811,1
25525,13.0,133.0,11909.0,37.6343,2061.98,1
25545,123.0,288.0,12332.0,38.852599999999995,2063.531,1
25565,151.0,457.0,12327.0,40.4432,2065.042,1
25585,297.0,779.0,12713.0,43.011300000000006,2066.388,1
25605,521.0,1308.0,13244.0,45.8763,2073.894,1
25625,695.0,1998.0,14067.0,48.5331,2088.385,1
25645,1720.0,3670.0,14774.0,47.0206,2102.419,1
25665,1742.0,5413.0,15415.0,52.2081,2108.079,1
25685,180.0,353.0,3438.0,719.7266,76147.624,1
25705,63.0,412.0,3497.0,707.0008,77181.884,1
25725,154.0,565.0,3386.0,777.0423000000001,78218.479,1
25745,77.0,643.0,3752.0,785.6189,79277.962,1
25765,117.0,760.0,3866.0,760.4970999999999,80312.698,1
25785,206.0,952.0,3499.0,658.5444,81407.204,1
25805,228.0,1176.0,3021.0,678.18,82579.44,1
25825,1617.0,2797.0,3128.0,626.7421999999999,83384.68,1
25845,10063.0,24683.0,21028.0,2644.7165,65116.219,1
25865,10544.0,33434.0,21136.0,2434.1192,65611.593,1
25885,13727.0,41218.0,20995.0,2359.7898999999998,66058.859,1
25905,15579.0,55335.0,21464.0,2420.8972000000003,66460.344,1
25927,1.0,15.0,2059.0,6.6715,1797.086,1
